Datum von;Datum bis;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Netzlast [MWh] Berechnete Auflösungen;Deutschland/Luxemburg [€/MWh] Originalauflösungen
01.01.2025 00:00;01.01.2025 01:00;32.875,75;9,50;4.692,50;47.741,75;2,16
01.01.2025 01:00;01.01.2025 02:00;33.520,00;9,50;4.327,50;46.867,25;1,60
01.01.2025 02:00;01.01.2025 03:00;33.767,00;9,00;4.217,75;45.797,50;0,00
01.01.2025 03:00;01.01.2025 04:00;32.876,25;9,25;4.279,50;44.623,50;-0,01
01.01.2025 04:00;01.01.2025 05:00;33.113,75;9,00;4.335,00;43.626,00;-0,01
01.01.2025 05:00;01.01.2025 06:00;33.570,75;9,25;4.464,00;43.838,50;-0,06
01.01.2025 06:00;01.01.2025 07:00;35.440,25;10,50;4.477,75;43.176,00;-0,09
01.01.2025 07:00;01.01.2025 08:00;36.089,75;12,50;4.427,00;43.525,00;-0,01
01.01.2025 08:00;01.01.2025 09:00;35.661,50;723,50;4.080,75;45.659,00;-0,01
01.01.2025 09:00;01.01.2025 10:00;34.597,25;4.051,75;4.009,75;47.680,00;-0,04
01.01.2025 10:00;01.01.2025 11:00;36.147,00;7.913,00;3.988,00;50.088,25;-0,03
01.01.2025 11:00;01.01.2025 12:00;35.918,25;11.146,75;3.969,50;52.089,50;-0,10
01.01.2025 12:00;01.01.2025 13:00;36.641,25;12.110,50;3.646,25;53.127,75;-0,05
01.01.2025 13:00;01.01.2025 14:00;37.617,00;10.659,25;3.623,00;51.859,00;-0,10
01.01.2025 14:00;01.01.2025 15:00;38.592,00;7.043,00;3.614,00;50.763,00;-1,01
01.01.2025 15:00;01.01.2025 16:00;41.261,75;2.772,75;3.590,50;51.838,00;-0,01
01.01.2025 16:00;01.01.2025 17:00;41.900,00;192,75;3.642,50;53.929,75;-0,01
01.01.2025 17:00;01.01.2025 18:00;43.761,75;19,25;3.691,25;55.772,25;0,07
01.01.2025 18:00;01.01.2025 19:00;44.199,75;14,50;3.698,50;55.923,75;1,01
01.01.2025 19:00;01.01.2025 20:00;43.338,50;12,25;3.732,00;54.756,25;1,48
01.01.2025 20:00;01.01.2025 21:00;42.674,50;12,50;3.586,00;52.526,50;1,00
01.01.2025 21:00;01.01.2025 22:00;41.421,25;11,25;3.563,50;50.685,75;0,07
01.01.2025 22:00;01.01.2025 23:00;39.663,25;10,00;3.531,00;48.596,00;10,05
01.01.2025 23:00;02.01.2025 00:00;39.612,25;9,75;3.526,75;46.001,75;7,01
